x,exact,approx
0,1,1
0.015625,0.999761,0.999761
0.03125,0.999043,0.999043
0.046875,0.997847,0.997847
0.0625,0.996174,0.996174
0.078125,0.994025,0.994025
0.09375,0.991399,0.991399
0.109375,0.988299,0.988299
0.125,0.984727,0.984727
0.140625,0.980683,0.980683
0.15625,0.976169,0.976169
0.171875,0.971189,0.971189
0.1875,0.965744,0.965744
0.203125,0.959837,0.959837
0.21875,0.953471,0.953471
0.234375,0.946648,0.946648
0.25,0.939373,0.939373
0.265625,0.931648,0.931648
0.28125,0.923477,0.923477
0.296875,0.914864,0.914864
0.3125,0.905814,0.905814
0.328125,0.89633,0.89633
0.34375,0.886417,0.886417
0.359375,0.87608,0.87608
0.375,0.865324,0.865324
0.390625,0.854154,0.854154
0.40625,0.842575,0.842575
0.421875,0.830593,0.830593
0.4375,0.818213,0.818213
0.453125,0.805442,0.805442
0.46875,0.792286,0.792286
0.484375,0.77875,0.77875
0.5,0.764842,0.764842
0.515625,0.750568,0.750568
0.53125,0.735935,0.735935
0.546875,0.720949,0.720949
0.5625,0.705619,0.705619
0.578125,0.689951,0.689951
0.59375,0.673953,0.673953
0.609375,0.657632,0.657632
0.625,0.640997,0.640997
0.640625,0.624055,0.624055
0.65625,0.606814,0.606814
0.671875,0.589283,0.589283
0.6875,0.57147,0.57147
0.703125,0.553384,0.553384
0.71875,0.535033,0.535033
0.734375,0.516425,0.516425
0.75,0.497571,0.497571
0.765625,0.478479,0.478479
0.78125,0.459157,0.459157
0.796875,0.439616,0.439616
0.8125,0.419865,0.419865
0.828125,0.399912,0.399912
0.84375,0.379769,0.379769
0.859375,0.359443,0.359443
0.875,0.338946,0.338946
0.890625,0.318286,0.318286
0.90625,0.297475,0.297475
0.921875,0.27652,0.27652
0.9375,0.255434,0.255434
0.953125,0.234225,0.234225
0.96875,0.212904,0.212904
0.984375,0.191481,0.191481
1,0.169967,0.169967
1.01562,0.148371,0.148371
1.03125,0.126705,0.126705
1.04688,0.104978,0.104978
1.0625,0.0832,0.0832
1.07812,0.0613827,0.0613827
1.09375,0.039536,0.039536
1.10938,0.0176704,0.0176704
1.125,-0.00420366,-0.00420366
1.14062,-0.0260757,-0.0260757
1.15625,-0.0479353,-0.0479353
1.17188,-0.0697719,-0.0697719
1.1875,-0.0915752,-0.0915752
1.20312,-0.113335,-0.113335
1.21875,-0.13504,-0.13504
1.23438,-0.15668,-0.15668
1.25,-0.178246,-0.178246
1.26562,-0.199726,-0.199726
1.28125,-0.221111,-0.221111
1.29688,-0.24239,-0.24239
1.3125,-0.263553,-0.263553
1.32812,-0.28459,-0.28459
1.34375,-0.305491,-0.305491
1.35938,-0.326245,-0.326245
1.375,-0.346844,-0.346844
1.39062,-0.367276,-0.367276
1.40625,-0.387533,-0.387533
1.42188,-0.407604,-0.407604
1.4375,-0.42748,-0.42748
1.45312,-0.447152,-0.447152
1.46875,-0.46661,-0.46661
1.48438,-0.485844,-0.485844
1.5,-0.504846,-0.504846
1.51562,-0.523607,-0.523607
1.53125,-0.542116,-0.542116
1.54688,-0.560367,-0.560367
1.5625,-0.578349,-0.578349
1.57812,-0.596055,-0.596055
1.59375,-0.613475,-0.613475
1.60938,-0.630602,-0.630602
1.625,-0.647427,-0.647427
1.64062,-0.663942,-0.663942
1.65625,-0.68014,-0.68014
1.67188,-0.696012,-0.696012
1.6875,-0.711551,-0.711551
1.70312,-0.72675,-0.72675
1.71875,-0.741601,-0.741601
1.73438,-0.756097,-0.756097
1.75,-0.770231,-0.770231
1.76562,-0.783997,-0.783997
1.78125,-0.797388,-0.797388
1.79688,-0.810397,-0.810397
1.8125,-0.823018,-0.823018
1.82812,-0.835245,-0.835245
1.84375,-0.847073,-0.847073
1.85938,-0.858496,-0.858496
1.875,-0.869507,-0.869507
1.89062,-0.880103,-0.880103
1.90625,-0.890277,-0.890277
1.92188,-0.900026,-0.900026
1.9375,-0.909344,-0.909344
1.95312,-0.918226,-0.918226
1.96875,-0.92667,-0.92667
1.98438,-0.93467,-0.93467
2,-0.942222,-0.942222
2.01562,-0.949324,-0.949324
2.03125,-0.955972,-0.955972
2.04688,-0.962162,-0.962162
2.0625,-0.967892,-0.967892
2.07812,-0.973158,-0.973158
2.09375,-0.977959,-0.977959
2.10938,-0.982292,-0.982292
2.125,-0.986156,-0.986156
2.14062,-0.989547,-0.989547
2.15625,-0.992464,-0.992464
2.17188,-0.994907,-0.994907
2.1875,-0.996874,-0.996874
2.20312,-0.998364,-0.998364
2.21875,-0.999376,-0.999376
2.23438,-0.999909,-0.999909
2.25,-0.999965,-0.999965
2.26562,-0.999542,-0.999542
2.28125,-0.99864,-0.99864
2.29688,-0.997261,-0.997261
2.3125,-0.995404,-0.995404
2.32812,-0.993072,-0.993072
2.34375,-0.990264,-0.990264
2.35938,-0.986982,-0.986982
2.375,-0.983228,-0.983228
2.39062,-0.979003,-0.979003
