x,exact,approx
0,1,1
0.0078125,0.99994,0.99994
0.015625,0.999761,0.999761
0.0234375,0.999462,0.999462
0.03125,0.999043,0.999043
0.0390625,0.998505,0.998505
0.046875,0.997847,0.997847
0.0546875,0.997071,0.997071
0.0625,0.996174,0.996174
0.0703125,0.995159,0.995159
0.078125,0.994025,0.994025
0.0859375,0.992771,0.992771
0.09375,0.991399,0.991399
0.101562,0.989908,0.989908
0.109375,0.988299,0.988299
0.117188,0.986572,0.986572
0.125,0.984727,0.984727
0.132812,0.982763,0.982763
0.140625,0.980683,0.980683
0.148438,0.978485,0.978485
0.15625,0.976169,0.976169
0.164062,0.973738,0.973738
0.171875,0.971189,0.971189
0.179688,0.968525,0.968525
0.1875,0.965744,0.965744
0.195312,0.962848,0.962848
0.203125,0.959837,0.959837
0.210938,0.956711,0.956711
0.21875,0.953471,0.953471
0.226562,0.950116,0.950116
0.234375,0.946648,0.946648
0.242188,0.943067,0.943067
0.25,0.939373,0.939373
0.257812,0.935566,0.935566
0.265625,0.931648,0.931648
0.273438,0.927618,0.927618
0.28125,0.923477,0.923477
0.289062,0.919225,0.919225
0.296875,0.914864,0.914864
0.304688,0.910393,0.910393
0.3125,0.905814,0.905814
0.320312,0.901126,0.901126
0.328125,0.89633,0.89633
0.335938,0.891427,0.891427
0.34375,0.886417,0.886417
0.351562,0.881301,0.881301
0.359375,0.87608,0.87608
0.367188,0.870754,0.870754
0.375,0.865324,0.865324
0.382812,0.85979,0.85979
0.390625,0.854154,0.854154
0.398438,0.848415,0.848415
0.40625,0.842575,0.842575
0.414062,0.836634,0.836634
0.421875,0.830593,0.830593
0.429688,0.824452,0.824452
0.4375,0.818213,0.818213
0.445312,0.811876,0.811876
0.453125,0.805442,0.805442
0.460938,0.798912,0.798912
0.46875,0.792286,0.792286
0.476562,0.785565,0.785565
0.484375,0.77875,0.77875
0.492188,0.771842,0.771842
0.5,0.764842,0.764842
0.507812,0.75775,0.75775
0.515625,0.750568,0.750568
0.523438,0.743296,0.743296
0.53125,0.735935,0.735935
0.539062,0.728486,0.728486
0.546875,0.720949,0.720949
0.554688,0.713327,0.713327
0.5625,0.705619,0.705619
0.570312,0.697827,0.697827
0.578125,0.689951,0.689951
0.585938,0.681993,0.681993
0.59375,0.673953,0.673953
0.601562,0.665832,0.665832
0.609375,0.657632,0.657632
0.617188,0.649353,0.649353
0.625,0.640997,0.640997
0.632812,0.632564,0.632564
0.640625,0.624055,0.624055
0.648438,0.615471,0.615471
0.65625,0.606814,0.606814
0.664062,0.598084,0.598084
0.671875,0.589283,0.589283
0.679688,0.580411,0.580411
0.6875,0.57147,0.57147
0.695312,0.562461,0.562461
0.703125,0.553384,0.553384
0.710938,0.544241,0.544241
0.71875,0.535033,0.535033
0.726562,0.52576,0.52576
0.734375,0.516425,0.516425
0.742188,0.507029,0.507029
0.75,0.497571,0.497571
0.757812,0.488054,0.488054
0.765625,0.478479,0.478479
0.773438,0.468846,0.468846
0.78125,0.459157,0.459157
0.789062,0.449414,0.449414
0.796875,0.439616,0.439616
0.804688,0.429766,0.429766
0.8125,0.419865,0.419865
0.820312,0.409913,0.409913
0.828125,0.399912,0.399912
0.835938,0.389864,0.389864
0.84375,0.379769,0.379769
0.851562,0.369628,0.369628
0.859375,0.359443,0.359443
0.867188,0.349216,0.349216
0.875,0.338946,0.338946
0.882812,0.328636,0.328636
0.890625,0.318286,0.318286
0.898438,0.307899,0.307899
0.90625,0.297475,0.297475
0.914062,0.287015,0.287015
0.921875,0.27652,0.27652
0.929688,0.265993,0.265993
0.9375,0.255434,0.255434
0.945312,0.244844,0.244844
0.953125,0.234225,0.234225
0.960938,0.223578,0.223578
0.96875,0.212904,0.212904
0.976562,0.202205,0.202205
0.984375,0.191481,0.191481
0.992188,0.180735,0.180735
1,0.169967,0.169967
1.00781,0.159179,0.159179
1.01562,0.148371,0.148371
1.02344,0.137546,0.137546
1.03125,0.126705,0.126705
1.03906,0.115848,0.115848
1.04688,0.104978,0.104978
1.05469,0.0940944,0.0940944
1.0625,0.0832,0.0832
1.07031,0.0722957,0.0722957
1.07812,0.0613827,0.0613827
1.08594,0.0504624,0.0504624
1.09375,0.039536,0.039536
1.10156,0.0286049,0.0286049
1.10938,0.0176704,0.0176704
1.11719,0.00673378,0.00673378
1.125,-0.00420366,-0.00420366
1.13281,-0.0151406,-0.0151406
1.14062,-0.0260757,-0.0260757
1.14844,-0.0370077,-0.0370077
1.15625,-0.0479353,-0.0479353
1.16406,-0.0588571,-0.0588571
1.17188,-0.0697719,-0.0697719
1.17969,-0.0806784,-0.0806784
1.1875,-0.0915752,-0.0915752
1.19531,-0.102461,-0.102461
1.20312,-0.113335,-0.113335
1.21094,-0.124195,-0.124195
1.21875,-0.13504,-0.13504
1.22656,-0.145869,-0.145869
1.23438,-0.15668,-0.15668
1.24219,-0.167473,-0.167473
1.25,-0.178246,-0.178246
1.25781,-0.188998,-0.188998
1.26562,-0.199726,-0.199726
1.27344,-0.210431,-0.210431
1.28125,-0.221111,-0.221111
1.28906,-0.231764,-0.231764
1.29688,-0.24239,-0.24239
1.30469,-0.252987,-0.252987
1.3125,-0.263553,-0.263553
1.32031,-0.274088,-0.274088
1.32812,-0.28459,-0.28459
1.33594,-0.295058,-0.295058
1.34375,-0.305491,-0.305491
1.35156,-0.315887,-0.315887
1.35938,-0.326245,-0.326245
1.36719,-0.336565,-0.336565
1.375,-0.346844,-0.346844
1.38281,-0.357081,-0.357081
1.39062,-0.367276,-0.367276
1.39844,-0.377427,-0.377427
1.40625,-0.387533,-0.387533
1.41406,-0.397592,-0.397592
1.42188,-0.407604,-0.407604
1.42969,-0.417567,-0.417567
1.4375,-0.42748,-0.42748
1.44531,-0.437342,-0.437342
1.45312,-0.447152,-0.447152
1.46094,-0.456908,-0.456908
1.46875,-0.46661,-0.46661
1.47656,-0.476255,-0.476255
1.48438,-0.485844,-0.485844
1.49219,-0.495375,-0.495375
1.5,-0.504846,-0.504846
1.50781,-0.514257,-0.514257
1.51562,-0.523607,-0.523607
1.52344,-0.532893,-0.532893
1.53125,-0.542116,-0.542116
1.53906,-0.551275,-0.551275
1.54688,-0.560367,-0.560367
1.55469,-0.569392,-0.569392
1.5625,-0.578349,-0.578349
1.57031,-0.587237,-0.587237
