x,exact,approx
0.150146,0.977988,0.977988
0.150879,0.977774,0.977774
0.151611,0.977558,0.977558
0.152344,0.977342,0.977342
0.153076,0.977124,0.977124
0.153809,0.976906,0.976906
0.154541,0.976686,0.976686
0.155273,0.976465,0.976465
0.156006,0.976244,0.976244
0.156738,0.976021,0.976021
0.157471,0.975797,0.975797
0.158203,0.975572,0.975572
0.158936,0.975347,0.975347
0.159668,0.97512,0.97512
0.1604,0.974892,0.974892
0.161133,0.974663,0.974663
0.161865,0.974433,0.974433
0.162598,0.974202,0.974202
0.16333,0.973971,0.973971
0.164062,0.973738,0.973738
0.164795,0.973504,0.973504
0.165527,0.973269,0.973269
0.16626,0.973033,0.973033
0.166992,0.972796,0.972796
0.167725,0.972558,0.972558
0.168457,0.972318,0.972318
0.169189,0.972078,0.972078
0.169922,0.971837,0.971837
0.170654,0.971595,0.971595
0.171387,0.971352,0.971352
0.172119,0.971108,0.971108
0.172852,0.970862,0.970862
0.173584,0.970616,0.970616
0.174316,0.970369,0.970369
0.175049,0.970121,0.970121
0.175781,0.969871,0.969871
0.176514,0.969621,0.969621
0.177246,0.96937,0.96937
0.177979,0.969117,0.969117
0.178711,0.968864,0.968864
0.179443,0.96861,0.96861
0.180176,0.968354,0.968354
0.180908,0.968098,0.968098
0.181641,0.96784,0.96784
0.182373,0.967582,0.967582
0.183105,0.967322,0.967322
0.183838,0.967062,0.967062
0.18457,0.9668,0.9668
0.185303,0.966538,0.966538
0.186035,0.966274,0.966274
0.186768,0.96601,0.96601
0.1875,0.965744,0.965744
0.188232,0.965478,0.965478
0.188965,0.96521,0.96521
0.189697,0.964941,0.964941
0.19043,0.964672,0.964672
0.191162,0.964401,0.964401
0.191895,0.964129,0.964129
0.192627,0.963857,0.963857
0.193359,0.963583,0.963583
0.194092,0.963308,0.963308
0.194824,0.963033,0.963033
0.195557,0.962756,0.962756
0.196289,0.962478,0.962478
0.197021,0.962199,0.962199
0.197754,0.96192,0.96192
0.198486,0.961639,0.961639
0.199219,0.961357,0.961357
0.199951,0.961074,0.961074
0.200684,0.960791,0.960791
0.201416,0.960506,0.960506
0.202148,0.96022,0.96022
0.202881,0.959933,0.959933
0.203613,0.959645,0.959645
0.204346,0.959356,0.959356
0.205078,0.959066,0.959066
0.205811,0.958776,0.958776
0.206543,0.958484,0.958484
0.207275,0.958191,0.958191
0.208008,0.957897,0.957897
0.20874,0.957602,0.957602
0.209473,0.957306,0.957306
0.210205,0.957009,0.957009
0.210938,0.956711,0.956711
0.21167,0.956412,0.956412
0.212402,0.956112,0.956112
0.213135,0.955811,0.955811
0.213867,0.955509,0.955509
0.2146,0.955207,0.955207
0.215332,0.954903,0.954903
0.216064,0.954598,0.954598
0.216797,0.954292,0.954292
0.217529,0.953985,0.953985
0.218262,0.953677,0.953677
0.218994,0.953368,0.953368
0.219727,0.953058,0.953058
0.220459,0.952747,0.952747
0.221191,0.952435,0.952435
0.221924,0.952122,0.952122
0.222656,0.951808,0.951808
0.223389,0.951493,0.951493
0.224121,0.951177,0.951177
0.224854,0.95086,0.95086
0.225586,0.950542,0.950542
0.226318,0.950223,0.950223
0.227051,0.949903,0.949903
0.227783,0.949582,0.949582
0.228516,0.94926,0.94926
0.229248,0.948937,0.948937
0.22998,0.948613,0.948613
0.230713,0.948288,0.948288
0.231445,0.947962,0.947962
0.232178,0.947635,0.947635
0.23291,0.947307,0.947307
0.233643,0.946978,0.946978
0.234375,0.946648,0.946648
0.235107,0.946317,0.946317
0.23584,0.945985,0.945985
0.236572,0.945652,0.945652
0.237305,0.945318,0.945318
0.238037,0.944984,0.944984
0.23877,0.944648,0.944648
0.239502,0.944311,0.944311
0.240234,0.943973,0.943973
0.240967,0.943634,0.943634
0.241699,0.943294,0.943294
0.242432,0.942953,0.942953
0.243164,0.942611,0.942611
0.243896,0.942268,0.942268
0.244629,0.941925,0.941925
0.245361,0.94158,0.94158
0.246094,0.941234,0.941234
0.246826,0.940887,0.940887
0.247559,0.940539,0.940539
0.248291,0.94019,0.94019
0.249023,0.939841,0.939841
0.249756,0.93949,0.93949
0.250488,0.939138,0.939138
0.251221,0.938785,0.938785
0.251953,0.938432,0.938432
0.252686,0.938077,0.938077
0.253418,0.937721,0.937721
0.25415,0.937364,0.937364
0.254883,0.937007,0.937007
0.255615,0.936648,0.936648
0.256348,0.936288,0.936288
0.25708,0.935928,0.935928
0.257812,0.935566,0.935566
0.258545,0.935204,0.935204
0.259277,0.93484,0.93484
0.26001,0.934475,0.934475
0.260742,0.93411,0.93411
0.261475,0.933743,0.933743
0.262207,0.933376,0.933376
0.262939,0.933007,0.933007
0.263672,0.932638,0.932638
0.264404,0.932267,0.932267
0.265137,0.931896,0.931896
0.265869,0.931523,0.931523
0.266602,0.93115,0.93115
0.267334,0.930776,0.930776
0.268066,0.9304,0.9304
0.268799,0.930024,0.930024
0.269531,0.929647,0.929647
0.270264,0.929268,0.929268
0.270996,0.928889,0.928889
0.271729,0.928509,0.928509
0.272461,0.928128,0.928128
0.273193,0.927745,0.927745
0.273926,0.927362,0.927362
0.274658,0.926978,0.926978
0.275391,0.926593,0.926593
