x,exact,approx
0,1,1
0.00292969,0.999992,0.999992
0.00585938,0.999966,0.999966
0.00878906,0.999924,0.999924
0.0117188,0.999865,0.999865
0.0146484,0.99979,0.99979
0.0175781,0.999697,0.999697
0.0205078,0.999588,0.999588
0.0234375,0.999462,0.999462
0.0263672,0.999319,0.999319
0.0292969,0.999159,0.999159
0.0322266,0.998982,0.998982
0.0351562,0.998789,0.998789
0.0380859,0.998579,0.998579
0.0410156,0.998352,0.998352
0.0439453,0.998108,0.998108
0.046875,0.997847,0.997847
0.0498047,0.99757,0.99757
0.0527344,0.997276,0.997276
0.0556641,0.996965,0.996965
0.0585938,0.996637,0.996637
0.0615234,0.996293,0.996293
0.0644531,0.995932,0.995932
0.0673828,0.995554,0.995554
0.0703125,0.995159,0.995159
0.0732422,0.994747,0.994747
0.0761719,0.994319,0.994319
0.0791016,0.993874,0.993874
0.0820312,0.993413,0.993413
0.0849609,0.992934,0.992934
0.0878906,0.992439,0.992439
0.0908203,0.991928,0.991928
0.09375,0.991399,0.991399
0.0966797,0.990854,0.990854
0.0996094,0.990292,0.990292
0.102539,0.989714,0.989714
0.105469,0.989119,0.989119
0.108398,0.988507,0.988507
0.111328,0.987878,0.987878
0.114258,0.987234,0.987234
0.117188,0.986572,0.986572
0.120117,0.985894,0.985894
0.123047,0.985199,0.985199
0.125977,0.984488,0.984488
0.128906,0.98376,0.98376
0.131836,0.983015,0.983015
0.134766,0.982254,0.982254
0.137695,0.981477,0.981477
0.140625,0.980683,0.980683
0.143555,0.979872,0.979872
0.146484,0.979045,0.979045
0.149414,0.978202,0.978202
0.152344,0.977342,0.977342
0.155273,0.976465,0.976465
0.158203,0.975572,0.975572
0.161133,0.974663,0.974663
0.164062,0.973738,0.973738
0.166992,0.972796,0.972796
0.169922,0.971837,0.971837
0.172852,0.970862,0.970862
0.175781,0.969871,0.969871
0.178711,0.968864,0.968864
0.181641,0.96784,0.96784
0.18457,0.9668,0.9668
0.1875,0.965744,0.965744
0.19043,0.964672,0.964672
0.193359,0.963583,0.963583
0.196289,0.962478,0.962478
0.199219,0.961357,0.961357
0.202148,0.96022,0.96022
0.205078,0.959066,0.959066
0.208008,0.957897,0.957897
0.210938,0.956711,0.956711
0.213867,0.955509,0.955509
0.216797,0.954292,0.954292
0.219727,0.953058,0.953058
0.222656,0.951808,0.951808
0.225586,0.950542,0.950542
0.228516,0.94926,0.94926
0.231445,0.947962,0.947962
0.234375,0.946648,0.946648
0.237305,0.945318,0.945318
0.240234,0.943973,0.943973
0.243164,0.942611,0.942611
0.246094,0.941234,0.941234
0.249023,0.939841,0.939841
0.251953,0.938432,0.938432
0.254883,0.937007,0.937007
0.257812,0.935566,0.935566
0.260742,0.93411,0.93411
0.263672,0.932638,0.932638
0.266602,0.93115,0.93115
0.269531,0.929647,0.929647
0.272461,0.928128,0.928128
0.275391,0.926593,0.926593
0.27832,0.925043,0.925043
0.28125,0.923477,0.923477
0.28418,0.921896,0.921896
0.287109,0.920299,0.920299
0.290039,0.918686,0.918686
0.292969,0.917059,0.917059
0.295898,0.915415,0.915415
0.298828,0.913757,0.913757
0.301758,0.912083,0.912083
0.304688,0.910393,0.910393
0.307617,0.908689,0.908689
0.310547,0.906969,0.906969
0.313477,0.905234,0.905234
0.316406,0.903483,0.903483
0.319336,0.901718,0.901718
0.322266,0.899937,0.899937
0.325195,0.898141,0.898141
0.328125,0.89633,0.89633
0.331055,0.894504,0.894504
0.333984,0.892663,0.892663
0.336914,0.890806,0.890806
0.339844,0.888935,0.888935
0.342773,0.887049,0.887049
0.345703,0.885148,0.885148
0.348633,0.883232,0.883232
0.351562,0.881301,0.881301
0.354492,0.879356,0.879356
0.357422,0.877395,0.877395
0.360352,0.87542,0.87542
0.363281,0.87343,0.87343
0.366211,0.871426,0.871426
0.369141,0.869406,0.869406
0.37207,0.867372,0.867372
0.375,0.865324,0.865324
0.37793,0.863261,0.863261
0.380859,0.861183,0.861183
0.383789,0.859091,0.859091
0.386719,0.856985,0.856985
0.389648,0.854864,0.854864
0.392578,0.852729,0.852729
0.395508,0.850579,0.850579
0.398438,0.848415,0.848415
0.401367,0.846237,0.846237
0.404297,0.844044,0.844044
0.407227,0.841838,0.841838
0.410156,0.839617,0.839617
0.413086,0.837382,0.837382
0.416016,0.835133,0.835133
0.418945,0.83287,0.83287
0.421875,0.830593,0.830593
0.424805,0.828302,0.828302
0.427734,0.825997,0.825997
0.430664,0.823678,0.823678
0.433594,0.821345,0.821345
0.436523,0.818999,0.818999
0.439453,0.816638,0.816638
0.442383,0.814264,0.814264
0.445312,0.811876,0.811876
0.448242,0.809475,0.809475
0.451172,0.80706,0.80706
0.454102,0.804631,0.804631
0.457031,0.802189,0.802189
0.459961,0.799733,0.799733
0.462891,0.797264,0.797264
0.46582,0.794782,0.794782
0.46875,0.792286,0.792286
0.47168,0.789777,0.789777
0.474609,0.787254,0.787254
0.477539,0.784718,0.784718
0.480469,0.782169,0.782169
0.483398,0.779607,0.779607
0.486328,0.777032,0.777032
0.489258,0.774444,0.774444
0.492188,0.771842,0.771842
0.495117,0.769228,0.769228
0.498047,0.766601,0.766601
0.500977,0.763961,0.763961
0.503906,0.761308,0.761308
0.506836,0.758642,0.758642
0.509766,0.755963,0.755963
0.512695,0.753272,0.753272
0.515625,0.750568,0.750568
0.518555,0.747851,0.747851
0.521484,0.745122,0.745122
0.524414,0.742381,0.742381
0.527344,0.739626,0.739626
0.530273,0.73686,0.73686
0.533203,0.734081,0.734081
0.536133,0.731289,0.731289
0.539062,0.728486,0.728486
0.541992,0.72567,0.72567
0.544922,0.722842,0.722842
0.547852,0.720001,0.720001
0.550781,0.717149,0.717149
0.553711,0.714284,0.714284
0.556641,0.711408,0.711408
0.55957,0.708519,0.708519
0.5625,0.705619,0.705619
0.56543,0.702707,0.702707
0.568359,0.699783,0.699783
0.571289,0.696847,0.696847
0.574219,0.693899,0.693899
0.577148,0.69094,0.69094
0.580078,0.687969,0.687969
0.583008,0.684987,0.684987
0.585938,0.681993,0.681993
0.588867,0.678987,0.678987
0.591797,0.67597,0.67597
0.594727,0.672942,0.672942
0.597656,0.669903,0.669903
0.600586,0.666852,0.666852
0.603516,0.66379,0.66379
0.606445,0.660717,0.660717
0.609375,0.657632,0.657632
0.612305,0.654537,0.654537
0.615234,0.65143,0.65143
0.618164,0.648313,0.648313
0.621094,0.645185,0.645185
0.624023,0.642046,0.642046
0.626953,0.638896,0.638896
0.629883,0.635735,0.635735
0.632812,0.632564,0.632564
0.635742,0.629382,0.629382
0.638672,0.626189,0.626189
0.641602,0.622986,0.622986
0.644531,0.619772,0.619772
0.647461,0.616548,0.616548
0.650391,0.613314,0.613314
0.65332,0.610069,0.610069
0.65625,0.606814,0.606814
0.65918,0.603549,0.603549
0.662109,0.600274,0.600274
0.665039,0.596988,0.596988
0.667969,0.593693,0.593693
0.670898,0.590387,0.590387
0.673828,0.587072,0.587072
0.676758,0.583747,0.583747
0.679688,0.580411,0.580411
0.682617,0.577067,0.577067
0.685547,0.573712,0.573712
0.688477,0.570348,0.570348
0.691406,0.566974,0.566974
0.694336,0.563591,0.563591
0.697266,0.560198,0.560198
0.700195,0.556795,0.556795
0.703125,0.553384,0.553384
0.706055,0.549963,0.549963
0.708984,0.546533,0.546533
0.711914,0.543093,0.543093
0.714844,0.539645,0.539645
0.717773,0.536187,0.536187
0.720703,0.532721,0.532721
0.723633,0.529245,0.529245
0.726562,0.52576,0.52576
0.729492,0.522267,0.522267
0.732422,0.518765,0.518765
0.735352,0.515254,0.515254
0.738281,0.511735,0.511735
0.741211,0.508206,0.508206
0.744141,0.50467,0.50467
0.74707,0.501125,0.501125
0.75,0.497571,0.497571
0.75293,0.494009,0.494009
0.755859,0.490439,0.490439
0.758789,0.48686,0.48686
0.761719,0.483274,0.483274
0.764648,0.479679,0.479679
0.767578,0.476076,0.476076
0.770508,0.472465,0.472465
0.773438,0.468846,0.468846
0.776367,0.465219,0.465219
0.779297,0.461585,0.461585
0.782227,0.457942,0.457942
0.785156,0.454292,0.454292
0.788086,0.450635,0.450635
0.791016,0.446969,0.446969
0.793945,0.443296,0.443296
0.796875,0.439616,0.439616
0.799805,0.435929,0.435929
0.802734,0.432234,0.432234
0.805664,0.428531,0.428531
0.808594,0.424822,0.424822
0.811523,0.421105,0.421105
0.814453,0.417382,0.417382
0.817383,0.413651,0.413651
0.820312,0.409913,0.409913
0.823242,0.406169,0.406169
0.826172,0.402417,0.402417
0.829102,0.398659,0.398659
0.832031,0.394894,0.394894
0.834961,0.391123,0.391123
0.837891,0.387344,0.387344
0.84082,0.38356,0.38356
0.84375,0.379769,0.379769
0.84668,0.375971,0.375971
0.849609,0.372168,0.372168
0.852539,0.368357,0.368357
0.855469,0.364541,0.364541
0.858398,0.360719,0.360719
0.861328,0.35689,0.35689
0.864258,0.353056,0.353056
0.867188,0.349216,0.349216
0.870117,0.345369,0.345369
0.873047,0.341517,0.341517
0.875977,0.337659,0.337659
0.878906,0.333796,0.333796
0.881836,0.329927,0.329927
0.884766,0.326052,0.326052
0.887695,0.322172,0.322172
0.890625,0.318286,0.318286
0.893555,0.314395,0.314395
0.896484,0.310499,0.310499
0.899414,0.306598,0.306598
0.902344,0.302691,0.302691
0.905273,0.29878,0.29878
0.908203,0.294863,0.294863
0.911133,0.290941,0.290941
0.914062,0.287015,0.287015
0.916992,0.283083,0.283083
0.919922,0.279147,0.279147
0.922852,0.275206,0.275206
0.925781,0.271261,0.271261
0.928711,0.267311,0.267311
0.931641,0.263356,0.263356
0.93457,0.259397,0.259397
0.9375,0.255434,0.255434
0.94043,0.251466,0.251466
0.943359,0.247494,0.247494
0.946289,0.243518,0.243518
0.949219,0.239538,0.239538
0.952148,0.235554,0.235554
0.955078,0.231566,0.231566
0.958008,0.227574,0.227574
0.960938,0.223578,0.223578
0.963867,0.219578,0.219578
0.966797,0.215575,0.215575
0.969727,0.211568,0.211568
0.972656,0.207558,0.207558
0.975586,0.203544,0.203544
0.978516,0.199526,0.199526
0.981445,0.195506,0.195506
0.984375,0.191481,0.191481
0.987305,0.187454,0.187454
0.990234,0.183424,0.183424
0.993164,0.17939,0.17939
0.996094,0.175354,0.175354
0.999023,0.171314,0.171314
1.00195,0.167272,0.167272
1.00488,0.163227,0.163227
1.00781,0.159179,0.159179
1.01074,0.155128,0.155128
1.01367,0.151075,0.151075
1.0166,0.147019,0.147019
1.01953,0.142961,0.142961
1.02246,0.1389,0.1389
1.02539,0.134837,0.134837
1.02832,0.130772,0.130772
1.03125,0.126705,0.126705
1.03418,0.122635,0.122635
1.03711,0.118564,0.118564
1.04004,0.11449,0.11449
1.04297,0.110414,0.110414
1.0459,0.106337,0.106337
1.04883,0.102258,0.102258
1.05176,0.098177,0.098177
1.05469,0.0940944,0.0940944
1.05762,0.0900103,0.0900103
1.06055,0.0859246,0.0859246
1.06348,0.0818375,0.0818375
1.06641,0.077749,0.077749
1.06934,0.0736592,0.0736592
1.07227,0.0695682,0.0695682
1.0752,0.065476,0.065476
1.07812,0.0613827,0.0613827
1.08105,0.0572884,0.0572884
1.08398,0.0531931,0.0531931
1.08691,0.0490969,0.0490969
1.08984,0.0449999,0.0449999
1.09277,0.0409021,0.0409021
1.0957,0.0368036,0.0368036
1.09863,0.0327046,0.0327046
1.10156,0.0286049,0.0286049
1.10449,0.0245048,0.0245048
1.10742,0.0204043,0.0204043
1.11035,0.0163034,0.0163034
1.11328,0.0122023,0.0122023
1.11621,0.00810093,0.00810093
1.11914,0.00399944,0.00399944
1.12207,-0.000102111,-0.000102111
1.125,-0.00420366,-0.00420366
1.12793,-0.00830514,-0.00830514
1.13086,-0.0124065,-0.0124065
1.13379,-0.0165076,-0.0165076
1.13672,-0.0206085,-0.0206085
1.13965,-0.024709,-0.024709
1.14258,-0.0288091,-0.0288091
1.14551,-0.0329087,-0.0329087
1.14844,-0.0370077,-0.0370077
1.15137,-0.0411062,-0.0411062
1.1543,-0.0452039,-0.0452039
1.15723,-0.0493009,-0.0493009
1.16016,-0.053397,-0.053397
1.16309,-0.0574923,-0.0574923
1.16602,-0.0615865,-0.0615865
1.16895,-0.0656798,-0.0656798
1.17188,-0.0697719,-0.0697719
1.1748,-0.0738629,-0.0738629
1.17773,-0.0779526,-0.0779526
1.18066,-0.082041,-0.082041
1.18359,-0.0861281,-0.0861281
1.18652,-0.0902137,-0.0902137
1.18945,-0.0942977,-0.0942977
1.19238,-0.0983802,-0.0983802
1.19531,-0.102461,-0.102461
1.19824,-0.10654,-0.10654
1.20117,-0.110617,-0.110617
1.2041,-0.114693,-0.114693
1.20703,-0.118766,-0.118766
1.20996,-0.122838,-0.122838
1.21289,-0.126907,-0.126907
1.21582,-0.130975,-0.130975
1.21875,-0.13504,-0.13504
1.22168,-0.139103,-0.139103
1.22461,-0.143163,-0.143163
1.22754,-0.147221,-0.147221
1.23047,-0.151277,-0.151277
1.2334,-0.15533,-0.15533
1.23633,-0.15938,-0.15938
1.23926,-0.163428,-0.163428
1.24219,-0.167473,-0.167473
1.24512,-0.171515,-0.171515
1.24805,-0.175555,-0.175555
1.25098,-0.179591,-0.179591
1.25391,-0.183625,-0.183625
1.25684,-0.187655,-0.187655
1.25977,-0.191682,-0.191682
1.2627,-0.195706,-0.195706
1.26562,-0.199726,-0.199726
1.26855,-0.203744,-0.203744
1.27148,-0.207757,-0.207757
1.27441,-0.211768,-0.211768
1.27734,-0.215774,-0.215774
1.28027,-0.219778,-0.219778
1.2832,-0.223777,-0.223777
1.28613,-0.227773,-0.227773
1.28906,-0.231764,-0.231764
1.29199,-0.235752,-0.235752
1.29492,-0.239736,-0.239736
1.29785,-0.243716,-0.243716
1.30078,-0.247692,-0.247692
1.30371,-0.251664,-0.251664
1.30664,-0.255631,-0.255631
1.30957,-0.259594,-0.259594
1.3125,-0.263553,-0.263553
1.31543,-0.267507,-0.267507
1.31836,-0.271457,-0.271457
1.32129,-0.275402,-0.275402
1.32422,-0.279343,-0.279343
1.32715,-0.283279,-0.283279
1.33008,-0.28721,-0.28721
1.33301,-0.291137,-0.291137
1.33594,-0.295058,-0.295058
1.33887,-0.298974,-0.298974
1.3418,-0.302886,-0.302886
1.34473,-0.306792,-0.306792
1.34766,-0.310693,-0.310693
1.35059,-0.314589,-0.314589
1.35352,-0.31848,-0.31848
1.35645,-0.322365,-0.322365
1.35938,-0.326245,-0.326245
1.3623,-0.33012,-0.33012
1.36523,-0.333988,-0.333988
1.36816,-0.337852,-0.337852
1.37109,-0.341709,-0.341709
1.37402,-0.345561,-0.345561
1.37695,-0.349407,-0.349407
1.37988,-0.353247,-0.353247
1.38281,-0.357081,-0.357081
1.38574,-0.360909,-0.360909
1.38867,-0.364731,-0.364731
1.3916,-0.368547,-0.368547
1.39453,-0.372357,-0.372357
1.39746,-0.376161,-0.376161
1.40039,-0.379958,-0.379958
1.40332,-0.383748,-0.383748
1.40625,-0.387533,-0.387533
1.40918,-0.391311,-0.391311
1.41211,-0.395082,-0.395082
1.41504,-0.398846,-0.398846
1.41797,-0.402604,-0.402604
1.4209,-0.406355,-0.406355
1.42383,-0.410099,-0.410099
1.42676,-0.413837,-0.413837
1.42969,-0.417567,-0.417567
1.43262,-0.42129,-0.42129
1.43555,-0.425007,-0.425007
